stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding,level_id,platform_code
"13626","13626","Lakeside Bvd/Princes Hwy","-38.06234821","145.45670895","https://transport.vic.gov.au/stop/14661/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"13763","13763","High St/Main Rd","-37.27811812","144.73660672","https://transport.vic.gov.au/stop/4331/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"13764","13764","High St/Main Rd","-37.27804994","144.73681176","https://transport.vic.gov.au/stop/4331/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"13765","13765","Romsey Community Hub/Main St","-37.35008997","144.74281161","https://transport.vic.gov.au/stop/4338/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"13766","13766","Romsey Community Hub/Main St","-37.35012130","144.74303644","https://transport.vic.gov.au/stop/4338/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"15096","15096","Jennings St/Northern Hwy","-36.92740598","144.71185196","https://transport.vic.gov.au/stop/4482/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"15097","15097","Jennings St/Northern Hwy","-36.92746867","144.71229911","https://transport.vic.gov.au/stop/4482/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"15109","15109","Murray River Council/Cobb Hwy","-36.11428466","144.75611191","https://transport.vic.gov.au/stop/4307/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"15113","15113","Thompson St/Main St","-35.64357276","144.13119650","https://transport.vic.gov.au/stop/4336/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"15114","15114","King Albert Ave/Leitchville Rd","-35.90363714","144.30111531","https://transport.vic.gov.au/stop/4332/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"15115","15115","Newsagent/Murray Valley Hwy","-35.95628939","144.36879683","https://transport.vic.gov.au/stop/4291/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"15116","15116","Newsagent/Murray Valley Hwy","-35.95598292","144.36879592","https://transport.vic.gov.au/stop/4291/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"15117","15117","General Store/Murray Valley Hwy","-36.02893281","144.51656586","https://transport.vic.gov.au/stop/4334/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"15122","15122","Transit Centre/Union St","-36.31438202","145.04752566","https://transport.vic.gov.au/stop/4293/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"15123","15123","Mill St/McLennan St","-36.39407805","145.36133151","https://transport.vic.gov.au/stop/4110/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","Level 0",""
"15126","15126","Shepparton Station/Purcell St ","-36.38381597","145.40634090","https://transport.vic.gov.au/stop/4653/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","","0","",""
